,,Bacteria Data,,,,,,,,,,Fungi Data,,,,
A) Outdoor (Vineyard),,,,,,,,,,A) Outdoor (Vineyard),,,,,,
,Input,Filtered,DenoisedF,DenoisedR,Merged,Nonchim,,,,,Input,Filtered,DenoisedF,DenoisedR,Merged,Nonchim
OPF1D1b,3118,3079,2969,2974,2881,2881,,,,OPF1D1f,2175,2080,1939,2007,1886,1886
OPF1D2b,3056,2989,2913,2899,2856,2856,,,,OPF1D2f,6662,6118,6017,6025,5888,5870
OPF1D3b,3944,3859,3757,3746,3618,3618,,,,OPF1D3f,5747,5435,5296,5352,5207,5151
OPF1D4b,3386,3208,3118,3113,2968,2968,,,,OPF1D4f,6735,5787,5702,5677,5522,5472
OPF1D5b,4115,4048,3968,3983,3820,3820,,,,OPF1D5f,16770,16427,16289,16223,15817,14732
OPF1D6b,3749,3677,3616,3611,3513,3510,,,,OPF1D6f,6423,6319,6149,6224,5903,5663
OPF1D7b,2539,2400,2359,2355,2261,2248,,,,OPF1D7f,8000,7892,7823,7820,7645,7046
OPF1D8b,2844,2806,2730,2730,2682,2682,,,,OPF1D8f,5260,5196,5114,5131,4950,4603
OPF1D9b,2130,1990,1929,1941,1912,1912,,,,OPF1D9f,741,709,679,695,651,645
OPF1D10b,3868,3822,3753,3762,3709,3630,,,,OPF1D10f,3911,3863,3802,3824,3729,3420
OPF1D11b,3591,3456,3387,3399,3361,3361,,,,OPF1D11f,6755,6648,6585,6615,6417,5847
OPF1D12b,3645,3594,3529,3540,3504,3479,,,,OPF1D12f,4699,4645,4599,4610,4568,4122
OPF1D13b,3901,3849,3790,3807,3701,3690,,,,OPF1D13f,8715,8562,8413,8483,8220,7437
OPF1D14b,3084,3032,2960,2981,2877,2864,,,,OPF1D14f,7974,7880,7791,7814,7459,6834
OPF1D15b,3591,3539,3465,3486,3378,3367,,,,OPF1D15f,4785,4729,4679,4657,4622,4147
OPF1D16b,3151,3092,3037,3047,2987,2955,,,,OPF1D16f,1898,1872,1829,1836,1796,1694
OPF1D17b,2591,2544,2489,2503,2406,2403,,,,OPF1D17f,2076,2014,1919,1983,1914,1823
OPF1D18b,2823,2788,2744,2747,2727,2727,,,,OPF1D18f,5451,5359,5273,5317,5225,4843
OPF1D19b,3514,3459,3351,3429,3332,3332,,,,OPF1D19f,6750,6625,6528,6592,6431,5956
OPF1D20b,3636,3586,3510,3546,3450,3448,,,,OPF1D20f,3131,3012,2922,2957,2844,2703
OPF1D21b,2462,2387,2340,2353,2291,2291,,,,OPF1D21f,2346,2271,2209,2243,2187,2080
OPF1D22b,3569,3509,3437,3454,3364,3357,,,,OPF1D22f,4525,4243,4152,4167,4003,3812
OPF1D23b,3470,3408,3274,3384,3206,3202,,,,OPF1D23f,6172,5991,5908,5936,5785,5406
OPF1D24b,3010,2958,2918,2924,2872,2872,,,,OPF1D24f,4482,4359,4316,4297,4221,3974
OPF1D25b,2690,2629,2553,2596,2505,2505,,,,OPF1D25f,7059,6865,6793,6812,6630,6201
OPF1D26b,2377,2342,2285,2319,2258,2258,,,,OPF1D26f,3300,3221,3146,3159,3097,2972
OPF1D27b,998,957,911,939,909,907,,,,OPF1D27f,6301,6125,6027,6079,5966,5550
OPF1D28b,4162,4091,4037,4053,3977,3977,,,,OPF1D28f,4968,4733,4665,4699,4597,4299
OPF1D28APb,3687,3612,3568,3582,3538,3538,,,,OPF1D28APf,1644,1599,1556,1557,1476,1466
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
B) Indoor (Winery),,,,,,,,,,B) Indoor (Winery),,,,,,
,Input,Filtered,DenoisedF,DenoisedR,Merged,Nonchim,,,,,Input,Filtered,DenoisedF,DenoisedR,Merged,Nonchim
OPF7D1b,3081,3021,2925,2943,2692,2692,,,,OPF7D1f,2277,2139,2028,2058,1990,1990
OPF7D2b,2219,2175,2094,2118,1880,1880,,,,OPF7D2f,15159,14705,14514,14518,14121,12642
OPF7D3b,2709,2660,2575,2566,2498,2494,,,,OPF7D3f,4638,4514,4383,4366,4250,4105
OPF7D4b,3627,3567,3497,3487,3404,3404,,,,OPF7D4f,864,757,719,724,693,693
OPF7D5b,3240,3169,3085,3094,2821,2821,,,,OPF7D5f,3538,3485,3382,3403,3317,3124
OPF7D6b,3526,3438,3364,3361,3260,3260,,,,OPF7D6f,8923,8772,8598,8566,8335,7771
OPF7D7b,3255,3151,3053,3069,3002,3002,,,,OPF7D7f,2722,2686,2607,2609,2452,2410
OPF7D8b,2638,2592,2495,2527,2479,2479,,,,OPF7D8f,6638,6567,6508,6499,6366,5765
OPF7D9b,2673,2632,2568,2587,2544,2541,,,,OPF7D9f,1541,1521,1506,1506,1475,1381
OPF7D10b,2207,2177,2110,2130,2103,2103,,,,OPF7D10f,29226,28847,28673,28671,28063,24512
OPF7D11b,3104,2954,2899,2904,2878,2878,,,,OPF7D11f,2653,2611,2559,2571,2494,2281
OPF7D12b,3147,3090,3018,3024,2984,2984,,,,OPF7D12f,6425,6256,6167,6196,6023,5521
OPF7D13b,3347,3295,3252,3262,3199,3195,,,,OPF7D13f,24676,23911,23775,23736,23092,20634
OPF7D14b,2441,2209,2093,2171,2058,2055,,,,OPF7D14f,1739,1704,1630,1670,1606,1526
OPF7D15b,3189,3148,3108,3129,3048,3048,,,,OPF7D15f,6020,5810,5718,5751,5606,5227
OPF7D16b,2226,2194,2117,2149,2076,2076,,,,OPF7D16f,10088,9507,9459,9430,9232,8716
OPF7D17b,3811,3776,3724,3736,3598,3598,,,,OPF7D17f,1974,1900,1839,1864,1816,1717
OPF7D18b,4331,4267,4188,4204,4121,4113,,,,OPF7D18f,5362,5139,5034,5035,4867,4525
OPF7D19b,3144,3031,2929,2978,2884,2884,,,,OPF7D19f,24839,24054,23927,23925,23560,21039
OPF7D20b,3042,2984,2904,2936,2795,2795,,,,OPF7D20f,5163,4944,4827,4860,4729,4400
OPF7D21b,4027,3918,3870,3867,3688,3682,,,,OPF7D21f,22511,21580,21402,21476,21102,19263
OPF7D22b,4158,4085,3999,4023,3920,3920,,,,OPF7D22f,2038,1932,1855,1888,1810,1744
OPF7D23b,3243,3191,3161,3162,3124,3124,,,,OPF7D23f,7057,6537,6485,6516,6419,6226
OPF7D24b,3475,3408,3306,3350,3206,3206,,,,OPF7D24f,6476,6105,6050,6064,5950,5643
OPF7D25b,3261,3207,3146,3160,3077,3077,,,,OPF7D25f,3775,3335,3277,3271,3195,3075
OPF7D26b,4199,4127,4048,4085,3935,3907,,,,OPF7D26f,5329,4887,4813,4824,4702,4597
OPF7D27b,4656,4549,4443,4449,4273,4273,,,,OPF7D27f,4581,4283,4212,4197,4115,3943
OPF7D28b,1264,896,834,869,734,734,,,,OPF7D28f,5092,4771,4724,4721,4645,4447
OPF7D28APb,4137,4098,4019,4008,3907,3907,,,,OPF7D28APf,3961,3718,3579,3663,3549,3403
